symbol,variant,open_side,year,setups,resolved,wins,hit_rate
MES,touch_A_B,below,2020,6,6,4,0.6666666666666666
MES,touch_A_B,below,2021,7,7,1,0.14285714285714285
MES,touch_A_B,below,2022,10,10,5,0.5
MES,touch_A_B,below,2023,7,7,2,0.2857142857142857
MES,touch_A_B,below,2024,5,5,1,0.2
MES,touch_A_B,below,2025,14,14,2,0.14285714285714285
MES,touch_A_B,below,2026,2,2,0,0.0
MGC,close_A_B,above,2016,3,3,0,0.0
MGC,close_A_B,above,2017,8,8,1,0.125
MGC,close_A_B,above,2018,3,3,0,0.0
MGC,close_A_B,above,2019,6,6,3,0.5
MGC,close_A_B,above,2020,4,4,2,0.5
MGC,close_A_B,above,2021,4,4,1,0.25
MGC,close_A_B,above,2022,3,3,1,0.3333333333333333
MGC,close_A_B,above,2023,1,1,1,1.0
MGC,close_A_B,above,2024,3,3,1,0.3333333333333333
MGC,close_A_B,above,2025,5,5,1,0.2
MGC,close_A_B,below,2016,5,5,2,0.4
MGC,close_A_B,below,2017,1,1,0,0.0
MGC,close_A_B,below,2018,3,3,0,0.0
MGC,close_A_B,below,2019,3,3,2,0.6666666666666666
MGC,close_A_B,below,2020,2,2,1,0.5
MGC,close_A_B,below,2021,3,3,1,0.3333333333333333
MGC,close_A_B,below,2023,4,4,0,0.0
MGC,close_A_B,below,2024,1,1,1,1.0
MGC,close_A_B,below,2025,5,5,1,0.2
MGC,first_touch_1h,above,2016,10,10,0,0.0
MGC,first_touch_1h,above,2017,20,20,1,0.05
MGC,first_touch_1h,above,2018,11,11,0,0.0
MGC,first_touch_1h,above,2019,15,15,1,0.06666666666666667
MGC,first_touch_1h,above,2020,19,19,0,0.0
MGC,first_touch_1h,above,2021,15,15,1,0.06666666666666667
MGC,first_touch_1h,above,2022,8,8,0,0.0
MGC,first_touch_1h,above,2023,4,4,1,0.25
MGC,first_touch_1h,above,2024,14,14,0,0.0
MGC,first_touch_1h,above,2025,25,25,1,0.04
MGC,first_touch_1h,above,2026,3,3,0,0.0
MGC,first_touch_1h,below,2016,11,11,0,0.0
MGC,first_touch_1h,below,2017,11,11,1,0.09090909090909091
MGC,first_touch_1h,below,2018,14,14,0,0.0
MGC,first_touch_1h,below,2019,12,12,0,0.0
MGC,first_touch_1h,below,2020,20,20,0,0.0
MGC,first_touch_1h,below,2021,14,14,1,0.07142857142857142
MGC,first_touch_1h,below,2022,6,6,1,0.16666666666666666
MGC,first_touch_1h,below,2023,8,8,0,0.0
MGC,first_touch_1h,below,2024,7,7,0,0.0
MGC,first_touch_1h,below,2025,11,11,0,0.0
MGC,first_touch_1h,below,2026,2,2,1,0.5
MGC,touch_A_B,above,2016,7,7,0,0.0
MGC,touch_A_B,above,2017,11,11,1,0.09090909090909091
MGC,touch_A_B,above,2018,6,6,0,0.0
MGC,touch_A_B,above,2019,8,8,3,0.375
MGC,touch_A_B,above,2020,10,10,2,0.2
MGC,touch_A_B,above,2021,9,9,1,0.1111111111111111
MGC,touch_A_B,above,2022,5,5,2,0.4
MGC,touch_A_B,above,2023,2,2,1,0.5
MGC,touch_A_B,above,2024,12,12,4,0.3333333333333333
MGC,touch_A_B,above,2025,17,17,4,0.23529411764705882
MGC,touch_A_B,above,2026,1,1,0,0.0
MGC,touch_A_B,below,2016,9,9,2,0.2222222222222222
MGC,touch_A_B,below,2017,7,7,1,0.14285714285714285
MGC,touch_A_B,below,2018,10,10,0,0.0
MGC,touch_A_B,below,2019,7,7,2,0.2857142857142857
