instrument,session,dst_regime,g_filter,stack_level,stack_label,n,n_baseline,pct_of_baseline,avg_r,win_rate,sharpe,pvalue,pvalue_bh,sample_class
MES,1000,all,G4,L1,size+dir,87,170,0.511800,0.035097,0.310345,0.490176,0.774030,0.947076,REGIME
MES,1000,all,G4,L2,size+conc,166,170,0.976500,0.051356,0.337349,0.695979,0.572928,0.947076,PRELIMINARY
MES,1000,all,G4,L3,size+dir+conc,86,170,0.505900,0.015729,0.302326,0.221211,0.897483,0.947076,REGIME
MES,1000,all,G4,L4,size+dir+conc+vol,73,170,0.429400,0.058186,0.315068,0.808038,0.664933,0.947076,REGIME
MES,1000,all,G4,L5,size+dir+conc+vol+cal,66,170,0.388200,0.110302,0.333333,1.520466,0.439320,0.947076,REGIME
MES,1000,all,G5,L0,size,116,116,1.000000,0.024774,0.310345,0.338083,0.818983,0.947076,PRELIMINARY
MES,1000,all,G5,L1,size+dir,64,116,0.551700,0.035844,0.296875,0.502429,0.800938,0.947076,REGIME
MES,1000,all,G5,L2,size+conc,112,116,0.965500,0.012764,0.303571,0.175637,0.906999,0.947076,PRELIMINARY
MES,1000,all,G5,L3,size+dir+conc,63,116,0.543100,0.009417,0.285714,0.133298,0.947076,0.947076,REGIME
MES,1000,all,G5,L4,size+dir+conc+vol,57,116,0.491400,0.082905,0.315789,1.143658,0.588657,0.947076,REGIME
MES,1000,all,G5,L5,size+dir+conc+vol+cal,50,116,0.431000,0.155158,0.340000,2.121907,0.349208,0.947076,REGIME
MES,1000,all,G6,L0,size,82,82,1.000000,0.027166,0.304878,0.367223,0.834602,0.947076,REGIME
MES,1000,all,G6,L1,size+dir,42,82,0.512200,0.128169,0.333333,1.709603,0.489153,0.947076,REGIME
MES,1000,all,G6,L2,size+conc,78,82,0.951200,0.010044,0.294872,0.137304,0.939308,0.947076,REGIME
MES,1000,all,G6,L3,size+dir+conc,41,82,0.500000,0.089815,0.317073,1.209992,0.628171,0.947076,REGIME
MES,1000,all,G6,L4,size+dir+conc+vol,38,82,0.463400,0.157329,0.342105,2.089906,0.422237,0.947076,REGIME
MES,1000,all,G6,L5,size+dir+conc+vol+cal,32,82,0.390200,0.250338,0.375000,3.281951,0.251109,0.947076,REGIME
MES,1000,all,G8,L0,size,40,40,1.000000,-0.052950,0.275000,-0.710366,0.778661,0.947076,REGIME
MES,1000,all,G8,L1,size+dir,19,40,0.475000,0.093758,0.315789,1.218394,0.741829,0.947076,INVALID
MES,1000,all,G8,L2,size+conc,37,40,0.925000,-0.050311,0.270270,-0.680524,0.795762,0.947076,REGIME
MES,1000,all,G8,L3,size+dir+conc,19,40,0.475000,0.093758,0.315789,1.218394,0.741829,0.947076,INVALID
MES,1000,all,G8,L4,size+dir+conc+vol,19,40,0.475000,0.093758,0.315789,1.218394,0.741829,0.947076,INVALID
MES,1000,all,G8,L5,size+dir+conc+vol+cal,17,40,0.425000,0.191382,0.352941,2.421686,0.538235,0.947076,INVALID
MNQ,1000,all,G4,L0,size,501,501,1.000000,-0.064335,0.301397,-0.851886,0.230259,0.921034,CORE
MNQ,1000,all,G4,L1,size+dir,229,501,0.457100,-0.002860,0.327511,-0.037010,0.971887,0.971887,CORE
MNQ,1000,all,G4,L2,size+conc,496,501,0.990000,-0.067200,0.300403,-0.889531,0.212635,0.921034,CORE
MNQ,1000,all,G4,L3,size+dir+conc,224,501,0.447100,-0.007833,0.325893,-0.101202,0.924071,0.964248,CORE
MNQ,1000,all,G4,L4,size+dir+conc+vol,147,501,0.293400,0.056326,0.346939,0.711465,0.587690,0.938520,PRELIMINARY
MNQ,1000,all,G4,L5,size+dir+conc+vol+cal,138,501,0.275400,0.078737,0.355072,0.989701,0.465181,0.938520,PRELIMINARY
MNQ,1000,all,G5,L0,size,496,496,1.000000,-0.065464,0.300403,-0.865850,0.225045,0.921034,CORE
MNQ,1000,all,G5,L1,size+dir,227,496,0.457700,-0.014337,0.321586,-0.185629,0.860310,0.938520,CORE
MNQ,1000,all,G5,L2,size+conc,491,496,0.989900,-0.068370,0.299389,-0.903974,0.207615,0.921034,CORE
MNQ,1000,all,G5,L3,size+dir+conc,222,496,0.447600,-0.019613,0.319820,-0.253578,0.812097,0.938520,CORE
MNQ,1000,all,G5,L4,size+dir+conc+vol,146,496,0.294400,0.047809,0.342466,0.603856,0.646469,0.938520,PRELIMINARY
MNQ,1000,all,G5,L5,size+dir+conc+vol+cal,137,496,0.276200,0.069824,0.350365,0.877480,0.518729,0.938520,PRELIMINARY
MNQ,1000,all,G6,L0,size,480,480,1.000000,-0.069594,0.295833,-0.919978,0.204812,0.921034,CORE
MNQ,1000,all,G6,L1,size+dir,221,480,0.460400,-0.020063,0.316742,-0.259697,0.808077,0.938520,CORE
MNQ,1000,all,G6,L2,size+conc,475,480,0.989600,-0.072642,0.294737,-0.959922,0.188173,0.921034,CORE
MNQ,1000,all,G6,L3,size+dir+conc,216,480,0.450000,-0.025618,0.314815,-0.331127,0.759472,0.938520,CORE
MNQ,1000,all,G6,L4,size+dir+conc+vol,141,480,0.293800,0.034048,0.333333,0.429813,0.748306,0.938520,PRELIMINARY
MNQ,1000,all,G6,L5,size+dir+conc+vol+cal,132,480,0.275000,0.055959,0.340909,0.702553,0.611979,0.938520,PRELIMINARY
MNQ,1000,all,G8,L0,size,432,432,1.000000,-0.047603,0.296296,-0.626358,0.412615,0.938520,CORE
MNQ,1000,all,G8,L1,size+dir,205,432,0.474500,-0.017824,0.312195,-0.230299,0.835658,0.938520,CORE
MNQ,1000,all,G8,L2,size+conc,429,432,0.993100,-0.048755,0.296037,-0.641231,0.403257,0.938520,CORE
MNQ,1000,all,G8,L3,size+dir+conc,202,432,0.467600,-0.019830,0.311881,-0.255890,0.819022,0.938520,CORE
