id,strategy,preset,n_selected,signals_per_year,avg_r_selected,wr_selected,avg_r_base,uplift_selected_vs_base,wf_years,wf_pos_avg_ratio,wf_pos_uplift_ratio,wf_median_test_avg,wf_worst_test_avg,stress_slip_0_02,stress_slip_0_05,stress_slip_0_10,stress_trim_top1_avg,stress_trim_top5_avg,boot_prob_avg_gt0,boot_q05,boot_q95,verdict
B1,M2K_1000 -> MES_1000 E0/CB1/RR2.5,base_plus_both,307,51.166666666666664,0.1832371335504886,0.43973941368078173,0.028291807228915666,0.15494532632157293,4,0.75,0.75,0.2512551048005409,-0.2794926470588235,0.1632371335504886,0.1332371335504886,0.08323713355048859,0.16289506578947374,0.08161883561643832,0.988,0.055228338762214974,0.31537156351791523,KILL
A2,MES_US_DATA_OPEN -> M2K_US_DATA_OPEN E0/CB1/RR1.5,base_plus_both,219,36.5,0.16025022831050229,0.5981735159817352,0.040902698412698404,0.11934752989780388,3,1.0,0.6666666666666666,0.05459555555555555,0.029146153846153836,0.1402502283105023,0.11025022831050228,0.06025022831050228,0.14904608294930863,0.09951153846153843,0.991,0.05975931506849314,0.26229219178082197,KILL
B2,MES_1000_fast_le_15 -> MES_1000 E0/CB1/RR2.5,base_plus_vol60,525,75.0,0.08852190476190477,0.40190476190476193,0.011141952707856595,0.07737995205404818,5,0.8,0.8,0.16161882352941176,-0.2272725274725275,0.06852190476190477,0.03852190476190477,-0.011478095238095232,0.06786826923076932,-0.019788577154308585,0.939,-0.0033721333333333304,0.19014492380952372,KILL
A1,M6E_US_EQUITY_OPEN -> M2K_US_POST_EQUITY E1/CB5/RR1.5,base,493,82.16666666666667,0.08136166328600405,0.47058823529411764,0.08136166328600405,0.0,4,0.75,0.0,0.1239731769181991,-0.20623608247422678,0.06136166328600405,0.03136166328600405,-0.01863833671399595,0.06769897540983609,0.011080982905982974,0.941,-0.0026946551724138052,0.16766790060851924,KILL
A3,MES_1000 -> M2K_US_POST_EQUITY E1/CB5/RR1.5,base_plus_both,197,32.833333333333336,0.04452639593908629,0.45685279187817257,0.034531854838709665,0.009994541100376626,3,0.6666666666666666,1.0,0.13971842105263155,-0.056714634146341474,0.02452639593908629,-0.0054736040609137115,-0.055473604060913714,0.030442564102564115,-0.027779144385026724,0.728,-0.09225652284263959,0.1837257614213198,KILL
A0,M6E_US_EQUITY_OPEN -> MES_US_EQUITY_OPEN E0/CB1/RR3.0,base_plus_both,142,23.666666666666668,0.554238028169014,0.4225352112676056,0.27670673575129534,0.2775312924177187,3,1.0,1.0,0.5115774193548387,0.40172068965517244,0.534238028169014,0.504238028169014,0.45423802816901404,0.5377007092198581,0.4354703703703703,1.0,0.30001383802816906,0.8039249999999998,PROMOTE
