segment,n,wr,avg_r,total_r,max_dd
all_on,90,0.6222222222222222,0.8428666666666668,75.858,14.870999999999981
all_off,1499,0.3228819212808539,0.10713695797198132,160.5983,151.25169999999983
train_2024_on,48,0.7916666666666666,1.11353125,53.4495,3.221499999999999
train_2024_off,635,0.3763779527559055,0.14730866141732285,93.54100000000001,54.25600000000004
test_2025_2026_on,42,0.42857142857142855,0.5335357142857143,22.4085,14.260200000000001
test_2025_2026_off,864,0.2835648148148148,0.07761261574074076,67.05730000000001,151.2517
