leader,follower,symbol,session,entry_model,confirm_bars,rr_target,n_base,n_same,n_opp,sigyr_same,sigyr_opp,avg_same,avg_opp,uplift_same_vs_opp,uplift_opp_vs_same,test2025_same,test2025_opp,n_test_same,n_test_opp
MES_0900,MES_1000,MES,1000,E0,1,1.0,1770,817,871,116.71428571428571,124.42857142857143,0.004491554467564277,-0.060847531572904685,0.06533908604046897,-0.06533908604046897,0.05167043478260871,-0.061679527559055106,115,127
MES_0900,MES_1000,MES,1000,E0,1,1.5,1769,816,871,116.57142857142857,124.42857142857143,0.023931372549019607,-0.09501469575200917,0.11894606830102877,-0.11894606830102877,0.08960608695652175,-0.12305196850393699,115,127
MES_0900,MES_1000,MES,1000,E0,1,2.0,1767,814,871,116.28571428571429,124.42857142857143,0.03675577395577397,-0.09311239954075776,0.12986817349653174,-0.12986817349653174,0.2669304347826088,-0.1947858267716536,115,127
MES_0900,MES_1000,MES,1000,E0,1,2.5,1767,814,871,116.28571428571429,124.42857142857143,0.03356953316953316,-0.10122881745120554,0.1347983506207387,-0.1347983506207387,0.30026869565217396,-0.13152204724409455,115,127
MES_0900,MES_1000,MES,1000,E0,1,3.0,1767,814,871,116.28571428571429,124.42857142857143,0.0251737100737101,-0.09848450057405281,0.1236582106477629,-0.1236582106477629,0.34941913043478273,-0.13885984251968503,115,127
MES_0900,MES_1000,MES,1000,E0,1,4.0,1765,814,870,116.28571428571429,124.28571428571429,0.0213583538083538,-0.14312379310344828,0.16448214691180207,-0.16448214691180207,0.4703695652173914,-0.15574645669291334,115,127
MES_0900,MES_1000,MES,1000,E0,2,1.0,640,298,314,298.0,314.0,-0.01641107382550334,-0.0851420382165605,0.06873096439105715,-0.06873096439105715,0.02757291666666666,-0.12629642857142856,48,56
MES_0900,MES_1000,MES,1000,E0,2,1.5,638,296,314,296.0,314.0,-0.017401689189189197,-0.13975254777070065,0.12235085858151146,-0.12235085858151146,0.011927083333333338,-0.06246964285714283,48,56
MES_0900,MES_1000,MES,1000,E0,2,2.0,637,295,314,295.0,314.0,0.018743389830508484,-0.11105286624203821,0.1297962560725467,-0.1297962560725467,0.21430625000000003,-0.09000178571428571,48,56
MES_0900,MES_1000,MES,1000,E0,2,2.5,637,295,314,295.0,314.0,0.054862033898305074,-0.1252847133757962,0.18014674727410127,-0.18014674727410127,0.24536875,-0.04771785714285715,48,56
MES_0900,MES_1000,MES,1000,E0,2,3.0,637,295,314,295.0,314.0,0.04253118644067797,-0.1268792993630573,0.16941048580373527,-0.16941048580373527,0.35657083333333334,-0.04272678571428571,48,56
MES_0900,MES_1000,MES,1000,E0,2,4.0,636,295,314,295.0,314.0,0.07824169491525426,-0.1347171974522293,0.21295889236748355,-0.21295889236748355,0.5317125,0.03577321428571427,48,56
MES_0900,MES_1000,MES,1000,E0,3,1.0,379,188,171,188.0,171.0,-0.07651968085106382,-0.15082456140350875,0.07430488055244493,-0.07430488055244493,,,25,27
MES_0900,MES_1000,MES,1000,E0,3,1.5,377,186,171,186.0,171.0,-0.0877930107526882,-0.18785789473684206,0.10006488398415386,-0.10006488398415386,,,25,27
MES_0900,MES_1000,MES,1000,E0,3,2.0,376,185,171,185.0,171.0,-0.07345459459459458,-0.15687719298245617,0.08342259838786159,-0.08342259838786159,,,25,27
MES_0900,MES_1000,MES,1000,E0,3,2.5,376,185,171,185.0,171.0,-0.012878378378378385,-0.21917543859649122,0.20629706021811284,-0.20629706021811284,,,25,27
MES_0900,MES_1000,MES,1000,E0,3,3.0,376,185,171,185.0,171.0,-0.028245405405405426,-0.25522865497076025,0.22698324956535482,-0.22698324956535482,,,25,27
MES_0900,MES_1000,MES,1000,E0,3,4.0,375,185,170,185.0,170.0,-0.01962216216216217,-0.2231035294117647,0.20348136724960253,-0.20348136724960253,,,25,27
MES_0900,MES_1000,MES,1000,E1,1,1.0,1808,838,885,119.71428571428571,126.42857142857143,-0.1237035799522673,-0.2110282485875706,0.0873246686353033,-0.0873246686353033,-0.01760420168067227,-0.2853078740157481,119,127
MES_0900,MES_1000,MES,1000,E1,1,1.5,1807,837,885,119.57142857142857,126.42857142857143,-0.13067228195937872,-0.2308381920903955,0.10016591013101678,-0.10016591013101678,0.07071512605042016,-0.3050393700787402,119,127
MES_0900,MES_1000,MES,1000,E1,1,2.0,1805,835,885,119.28571428571429,126.42857142857143,-0.09818670658682634,-0.2233864406779661,0.12519973409113977,-0.12519973409113977,0.15481092436974792,-0.2728889763779528,119,127
MES_0900,MES_1000,MES,1000,E1,1,2.5,1804,835,884,119.28571428571429,126.28571428571429,-0.09823209580838325,-0.23713880090497735,0.13890670509659409,-0.13890670509659409,0.19984453781512607,-0.2735346456692913,119,127
MES_0900,MES_1000,MES,1000,E1,1,3.0,1803,835,884,119.28571428571429,126.28571428571429,-0.08590622754491019,-0.26001990950226245,0.17411368195735227,-0.17411368195735227,0.25672184873949583,-0.16975511811023625,119,127
MES_0900,MES_1000,MES,1000,E1,1,4.0,1799,834,882,119.14285714285714,126.0,-0.1135170263788969,-0.2849595238095238,0.1714424974306269,-0.1714424974306269,0.18514745762711865,-0.2914277777777778,118,126
MES_0900,MES_1000,MES,1000,E1,2,1.0,1800,834,881,119.14285714285714,125.85714285714286,-0.16411702637889689,-0.20075096481271285,0.03663393843381596,-0.03663393843381596,-0.06312966101694915,-0.32451023622047237,118,127
MES_0900,MES_1000,MES,1000,E1,2,1.5,1799,833,881,119.0,125.85714285714286,-0.15302124849939977,-0.21278444948921682,0.05976320098981705,-0.05976320098981705,0.04152627118644069,-0.34638110236220476,118,127
