instrument,bris_time,bris_h,bris_m,dst_regime,size_filter,dominance,dom_desc,avg_vol,n_breaks,avg_r,wr,total_r,median_orb_size,median_mfe_r
MNQ,0400,4,0,ALL,ALL_BREAKS,US-FADE,US closing,2343.1,497,0.0531,0.3702,26.38,23.0,1.074
MNQ,0400,4,0,ALL,G4+,US-FADE,US closing,2343.1,497,0.0531,0.3702,26.38,23.0,1.074
MNQ,0400,4,0,ALL,G8+,US-FADE,US closing,2343.1,491,0.0598,0.3727,29.38,23.0,1.074
MNQ,0415,4,15,ALL,ALL_BREAKS,US-FADE,US closing,1977.5,495,-0.0075,0.3354,-3.71,20.75,0.944
MNQ,0415,4,15,ALL,G4+,US-FADE,US closing,1977.5,495,-0.0075,0.3354,-3.71,20.75,0.944
MNQ,0415,4,15,ALL,G8+,US-FADE,US closing,1977.5,483,-0.0077,0.3354,-3.71,21.0,0.944
MNQ,0430,4,30,ALL,ALL_BREAKS,US-FADE,US closing,2025.2,495,0.0679,0.3737,33.59,20.25,1.118
MNQ,0430,4,30,ALL,G4+,US-FADE,US closing,2025.2,495,0.0679,0.3737,33.59,20.25,1.118
MNQ,0430,4,30,ALL,G8+,US-FADE,US closing,2025.2,490,0.0665,0.3735,32.59,20.25,1.114
MNQ,0445,4,45,ALL,ALL_BREAKS,US-FADE,US closing,1821.1,495,-0.0277,0.3354,-13.73,18.5,1.041
MNQ,0445,4,45,ALL,G4+,US-FADE,US closing,1821.1,495,-0.0277,0.3354,-13.73,18.5,1.041
MNQ,0445,4,45,ALL,G8+,US-FADE,US closing,1821.1,483,-0.0346,0.3333,-16.73,19.0,1.033
MNQ,0500,5,0,ALL,ALL_BREAKS,US-CLOSE,US post-close,2176.4,495,0.0897,0.3778,44.41,22.25,1.122
MNQ,0500,5,0,ALL,G4+,US-CLOSE,US post-close,2176.4,495,0.0897,0.3778,44.41,22.25,1.122
MNQ,0500,5,0,ALL,G8+,US-CLOSE,US post-close,2176.4,489,0.0969,0.3804,47.41,22.25,1.123
MNQ,0515,5,15,ALL,ALL_BREAKS,US-CLOSE,US post-close,1859.7,495,0.0484,0.3636,23.95,19.5,0.957
MNQ,0515,5,15,ALL,G4+,US-CLOSE,US post-close,1859.7,495,0.0484,0.3636,23.95,19.5,0.957
MNQ,0515,5,15,ALL,G8+,US-CLOSE,US post-close,1859.7,482,0.0518,0.3651,24.95,20.25,0.95
MNQ,0530,5,30,ALL,ALL_BREAKS,US-CLOSE,US post-close,2072.0,495,0.0709,0.3838,35.09,20.25,1.016
MNQ,0530,5,30,ALL,G4+,US-CLOSE,US post-close,2072.0,495,0.0709,0.3838,35.09,20.25,1.016
MNQ,0530,5,30,ALL,G8+,US-CLOSE,US post-close,2072.0,487,0.07,0.384,34.09,20.25,1.016
MNQ,0545,5,45,ALL,ALL_BREAKS,US-CLOSE,US post-close,1988.9,495,0.2156,0.4404,106.7,20.25,1.104
MNQ,0545,5,45,ALL,G4+,US-CLOSE,US post-close,1988.9,495,0.2156,0.4404,106.7,20.25,1.104
MNQ,0545,5,45,ALL,G8+,US-CLOSE,US post-close,1988.9,488,0.2084,0.4385,101.7,20.5,1.1
MNQ,0600,6,0,ALL,ALL_BREAKS,DEAD-ZONE,"US closed, quiet",2138.4,470,0.0312,0.4234,14.66,23.25,0.669
MNQ,0600,6,0,ALL,G4+,DEAD-ZONE,"US closed, quiet",2138.4,470,0.0312,0.4234,14.66,23.25,0.669
MNQ,0600,6,0,ALL,G8+,DEAD-ZONE,"US closed, quiet",2138.4,464,0.0251,0.4224,11.66,23.5,0.667
MNQ,0615,6,15,ALL,ALL_BREAKS,DEAD-ZONE,"US closed, quiet",944.7,491,0.0205,0.3727,10.08,13.5,0.969
MNQ,0615,6,15,ALL,G4+,DEAD-ZONE,"US closed, quiet",944.7,485,0.0208,0.3732,10.08,13.75,0.969
MNQ,0615,6,15,ALL,G8+,DEAD-ZONE,"US closed, quiet",944.7,405,-0.0032,0.3679,-1.28,16.0,0.945
MNQ,0630,6,30,ALL,ALL_BREAKS,DEAD-ZONE,"US closed, quiet",954.4,492,0.1023,0.3902,50.34,11.75,0.978
MNQ,0630,6,30,ALL,G4+,DEAD-ZONE,"US closed, quiet",954.4,458,0.0925,0.3886,42.34,12.75,0.961
MNQ,0630,6,30,ALL,G8+,DEAD-ZONE,"US closed, quiet",954.4,335,0.1138,0.406,38.13,17.0,1.0
MNQ,0645,6,45,ALL,ALL_BREAKS,DEAD-ZONE,"US closed, quiet",867.0,482,0.1155,0.417,55.66,10.75,1.0
MNQ,0645,6,45,ALL,G4+,DEAD-ZONE,"US closed, quiet",867.0,463,0.102,0.4147,47.25,11.25,1.0
MNQ,0645,6,45,ALL,G8+,DEAD-ZONE,"US closed, quiet",867.0,312,0.2247,0.4712,70.11,16.25,1.05
MNQ,0700,7,0,ALL,ALL_BREAKS,DEAD-ZONE,"US closed, Asia not open",2109.6,145,-0.0204,0.4345,-2.96,24.75,0.474
MNQ,0700,7,0,ALL,G4+,DEAD-ZONE,"US closed, Asia not open",2109.6,145,-0.0204,0.4345,-2.96,24.75,0.474
MNQ,0700,7,0,ALL,G8+,DEAD-ZONE,"US closed, Asia not open",2109.6,144,-0.0344,0.4306,-4.96,24.75,0.472
MNQ,0715,7,15,ALL,ALL_BREAKS,DEAD-ZONE,"US closed, Asia not open",581.3,152,-0.1229,0.3618,-18.67,12.5,0.508
MNQ,0715,7,15,ALL,G4+,DEAD-ZONE,"US closed, Asia not open",581.3,152,-0.1229,0.3618,-18.67,12.5,0.508
MNQ,0715,7,15,ALL,G8+,DEAD-ZONE,"US closed, Asia not open",581.3,124,-0.107,0.371,-13.27,14.0,0.504
MNQ,0730,7,30,ALL,ALL_BREAKS,DEAD-ZONE,"US closed, Asia not open",390.2,160,-0.1278,0.3563,-20.45,8.25,0.522
MNQ,0730,7,30,ALL,G4+,DEAD-ZONE,"US closed, Asia not open",390.2,151,-0.1418,0.3576,-21.41,9.0,0.507
MNQ,0730,7,30,ALL,G8+,DEAD-ZONE,"US closed, Asia not open",390.2,84,-0.1791,0.381,-15.05,12.75,0.464
MNQ,0745,7,45,ALL,ALL_BREAKS,DEAD-ZONE,"US closed, Asia not open",310.7,140,-0.1536,0.35,-21.5,8.0,0.36
MNQ,0745,7,45,ALL,G4+,DEAD-ZONE,"US closed, Asia not open",310.7,129,-0.1869,0.3333,-24.11,8.75,0.311
MNQ,0745,7,45,ALL,G8+,DEAD-ZONE,"US closed, Asia not open",310.7,73,-0.1456,0.3425,-10.63,11.5,0.254
MNQ,0800,8,0,ALL,ALL_BREAKS,DEAD-ZONE,"US closed, Asia not open",712.7,291,0.0521,0.488,15.15,21.5,0.477
MNQ,0800,8,0,ALL,G4+,DEAD-ZONE,"US closed, Asia not open",712.7,291,0.0521,0.488,15.15,21.5,0.477
MNQ,0800,8,0,ALL,G8+,DEAD-ZONE,"US closed, Asia not open",712.7,291,0.0521,0.488,15.15,21.5,0.477
MNQ,0815,8,15,ALL,ALL_BREAKS,DEAD-ZONE,"US closed, Asia not open",284.1,326,0.0694,0.4356,22.62,10.5,0.667
MNQ,0815,8,15,ALL,G4+,DEAD-ZONE,"US closed, Asia not open",284.1,309,0.0387,0.4272,11.95,11.0,0.619
MNQ,0815,8,15,ALL,G8+,DEAD-ZONE,"US closed, Asia not open",284.1,209,0.0592,0.4498,12.37,14.25,0.63
MNQ,0830,8,30,ALL,ALL_BREAKS,DEAD-ZONE,"US closed, Asia not open",285.6,303,0.0146,0.429,4.43,9.75,0.545
MNQ,0830,8,30,ALL,G4+,DEAD-ZONE,"US closed, Asia not open",285.6,283,-0.022,0.4134,-6.23,10.25,0.51
MNQ,0830,8,30,ALL,G8+,DEAD-ZONE,"US closed, Asia not open",285.6,193,-0.0365,0.4093,-7.04,13.25,0.5
MNQ,0845,8,45,ALL,ALL_BREAKS,DEAD-ZONE,"US closed, Asia not open",214.9,255,-0.0168,0.4196,-4.28,7.75,0.455
MNQ,0845,8,45,ALL,G4+,DEAD-ZONE,"US closed, Asia not open",214.9,223,-0.0166,0.417,-3.71,8.75,0.429
MNQ,0845,8,45,ALL,G8+,DEAD-ZONE,"US closed, Asia not open",214.9,124,0.0364,0.4677,4.51,12.75,0.425
MES,0900,9,0,WINTER,ALL_BREAKS,HANDOFF,"CME open, US→Asia transition",332.4,176,0.0735,0.4091,12.94,5.25,0.969
MES,0900,9,0,WINTER,G4+,HANDOFF,"CME open, US→Asia transition",332.4,131,0.0795,0.4198,10.41,6.75,0.833
MES,0900,9,0,WINTER,G8+,HANDOFF,"CME open, US→Asia transition",332.4,50,0.0095,0.4,0.48,10.5,0.672
MES,0900,9,0,SUMMER,ALL_BREAKS,HANDOFF,"CME open, US→Asia transition",332.4,338,-0.0138,0.3314,-4.65,2.0,0.98
MES,0900,9,0,SUMMER,G4+,HANDOFF,"CME open, US→Asia transition",332.4,68,-0.1566,0.2941,-10.65,5.25,0.957
MES,0900,9,0,SUMMER,G8+,HANDOFF,"CME open, US→Asia transition",332.4,10,0.835,0.7,8.35,14.38,1.864
MES,0915,9,15,ALL,ALL_BREAKS,HANDOFF,"CME open, US→Asia transition",181.2,516,0.0291,0.343,15.0,2.0,1.023
MES,0915,9,15,ALL,G4+,HANDOFF,"CME open, US→Asia transition",181.2,90,0.0,0.3333,0.0,5.5,0.758
MES,0915,9,15,ALL,G8+,HANDOFF,"CME open, US→Asia transition",181.2,22,-0.0455,0.3182,-1.0,10.12,0.736
MES,0930,9,30,ALL,ALL_BREAKS,HANDOFF,"CME open, US→Asia transition",180.3,514,0.1381,0.3794,71.0,2.0,1.115
MES,0930,9,30,ALL,G4+,HANDOFF,"CME open, US→Asia transition",180.3,84,0.1071,0.369,9.0,5.62,1.131
MES,0930,9,30,ALL,G8+,HANDOFF,"CME open, US→Asia transition",180.3,13,-0.0769,0.3077,-1.0,10.25,1.125
MES,0945,9,45,ALL,ALL_BREAKS,HANDOFF,"CME open, US→Asia transition",162.2,516,0.0758,0.3585,39.12,2.0,1.143
MES,0945,9,45,ALL,G4+,HANDOFF,"CME open, US→Asia transition",162.2,80,0.089,0.3625,7.12,5.5,0.764
MES,0945,9,45,ALL,G8+,HANDOFF,"CME open, US→Asia transition",162.2,15,0.1556,0.4,2.33,11.0,1.226
MES,1000,10,0,ALL,ALL_BREAKS,ASIA-ONLY,"Tokyo open, US/EU asleep",308.9,515,0.1563,0.3864,80.49,3.0,1.167
MES,1000,10,0,ALL,G4+,ASIA-ONLY,"Tokyo open, US/EU asleep",308.9,169,0.2514,0.4201,42.49,5.75,1.278
MES,1000,10,0,ALL,G8+,ASIA-ONLY,"Tokyo open, US/EU asleep",308.9,40,0.2147,0.4,8.59,10.12,1.597
MES,1015,10,15,ALL,ALL_BREAKS,ASIA-ONLY,"Tokyo open, US/EU asleep",225.5,517,0.2766,0.4275,143.0,2.25,1.385
MES,1015,10,15,ALL,G4+,ASIA-ONLY,"Tokyo open, US/EU asleep",225.5,119,0.4874,0.5042,58.0,5.75,1.925
MES,1015,10,15,ALL,G8+,ASIA-ONLY,"Tokyo open, US/EU asleep",225.5,30,0.6001,0.5667,18.0,11.38,1.985
MES,1030,10,30,ALL,ALL_BREAKS,ASIA-ONLY,"Tokyo open, US/EU asleep",189.5,517,0.0439,0.3482,22.7,2.0,1.1
MES,1030,10,30,ALL,G4+,ASIA-ONLY,"Tokyo open, US/EU asleep",189.5,92,0.138,0.3804,12.7,5.5,1.268
MES,1030,10,30,ALL,G8+,ASIA-ONLY,"Tokyo open, US/EU asleep",189.5,23,0.2332,0.3913,5.36,10.0,1.31
MES,1045,10,45,ALL,ALL_BREAKS,ASIA-ONLY,"Tokyo open, US/EU asleep",167.8,517,0.1929,0.3985,99.74,2.0,1.214
MES,1045,10,45,ALL,G4+,ASIA-ONLY,"Tokyo open, US/EU asleep",167.8,82,0.1553,0.3902,12.74,5.25,1.281
MES,1045,10,45,ALL,G8+,ASIA-ONLY,"Tokyo open, US/EU asleep",167.8,20,0.2,0.4,4.0,9.38,1.346
MES,1100,11,0,ALL,ALL_BREAKS,ASIA-ONLY,"Singapore/HK, US/EU asleep",229.4,517,0.0471,0.352,24.36,2.25,1.0
MES,1100,11,0,ALL,G4+,ASIA-ONLY,"Singapore/HK, US/EU asleep",229.4,114,0.1435,0.3947,16.36,5.75,1.226
MES,1100,11,0,ALL,G8+,ASIA-ONLY,"Singapore/HK, US/EU asleep",229.4,25,0.3229,0.48,8.07,10.0,1.425
MES,1115,11,15,ALL,ALL_BREAKS,ASIA-ONLY,"Singapore/HK, US/EU asleep",183.8,517,0.0691,0.3559,35.71,2.0,1.25
MES,1115,11,15,ALL,G4+,ASIA-ONLY,"Singapore/HK, US/EU asleep",183.8,86,-0.0498,0.314,-4.29,5.25,1.051
MES,1115,11,15,ALL,G8+,ASIA-ONLY,"Singapore/HK, US/EU asleep",183.8,17,-0.2941,0.2353,-5.0,9.75,1.026
MES,1130,11,30,ALL,ALL_BREAKS,ASIA-ONLY,"Singapore/HK, US/EU asleep",203.3,517,0.0792,0.3617,40.94,2.0,1.25
MES,1130,11,30,ALL,G4+,ASIA-ONLY,"Singapore/HK, US/EU asleep",203.3,94,0.0532,0.3511,5.0,5.25,0.998
MES,1130,11,30,ALL,G8+,ASIA-ONLY,"Singapore/HK, US/EU asleep",203.3,20,0.2,0.4,4.0,11.12,1.215
MES,1145,11,45,ALL,ALL_BREAKS,ASIA-ONLY,"Singapore/HK, US/EU asleep",157.8,515,0.014,0.3398,7.23,2.0,1.0
MES,1145,11,45,ALL,G4+,ASIA-ONLY,"Singapore/HK, US/EU asleep",157.8,74,-0.024,0.3378,-1.77,5.25,1.131
MES,1145,11,45,ALL,G8+,ASIA-ONLY,"Singapore/HK, US/EU asleep",157.8,12,-0.3542,0.25,-4.25,10.5,0.826
MES,1200,12,0,ALL,ALL_BREAKS,ASIA-ONLY,Asia mid-session,167.2,517,0.0601,0.354,31.07,1.75,1.111
MES,1200,12,0,ALL,G4+,ASIA-ONLY,Asia mid-session,167.2,71,0.1278,0.3803,9.07,5.5,1.125
MES,1200,12,0,ALL,G8+,ASIA-ONLY,Asia mid-session,167.2,16,0.3906,0.5,6.25,9.0,1.803
MES,1215,12,15,ALL,ALL_BREAKS,ASIA-ONLY,Asia mid-session,140.0,517,0.129,0.3791,66.7,1.75,1.25
MES,1215,12,15,ALL,G4+,ASIA-ONLY,Asia mid-session,140.0,68,0.2855,0.4412,19.42,5.12,1.19
MES,1215,12,15,ALL,G8+,ASIA-ONLY,Asia mid-session,140.0,14,0.6214,0.5714,8.7,10.62,1.775
MES,1230,12,30,ALL,ALL_BREAKS,ASIA-ONLY,Asia mid-session,130.9,517,-0.001,0.3327,-0.5,1.75,1.0
MES,1230,12,30,ALL,G4+,ASIA-ONLY,Asia mid-session,130.9,58,0.1379,0.3793,8.0,5.0,0.772
MES,1230,12,30,ALL,G8+,ASIA-ONLY,Asia mid-session,130.9,9,0.0,0.3333,0.0,9.25,0.732
MES,1245,12,45,ALL,ALL_BREAKS,ASIA-ONLY,Asia mid-session,110.8,511,0.18,0.3933,92.0,1.5,1.143
MES,1245,12,45,ALL,G4+,ASIA-ONLY,Asia mid-session,110.8,42,0.2857,0.4286,12.0,5.5,1.515
MES,1245,12,45,ALL,G8+,ASIA-ONLY,Asia mid-session,110.8,8,1.25,0.75,10.0,10.12,2.095
MES,1300,13,0,ALL,ALL_BREAKS,ASIA-FADE,Asia winding down,131.2,516,0.1016,0.3663,52.42,1.5,1.153
MES,1300,13,0,ALL,G4+,ASIA-FADE,Asia winding down,131.2,60,0.3737,0.45,22.42,5.0,1.706
MES,1300,13,0,ALL,G8+,ASIA-FADE,Asia winding down,131.2,11,0.493,0.4545,5.42,10.75,1.765
MES,1315,13,15,ALL,ALL_BREAKS,ASIA-FADE,Asia winding down,113.3,513,0.1696,0.3899,87.0,1.5,1.154
MES,1315,13,15,ALL,G4+,ASIA-FADE,Asia winding down,113.3,53,0.1321,0.3774,7.0,5.0,1.125
MES,1315,13,15,ALL,G8+,ASIA-FADE,Asia winding down,113.3,8,0.5,0.5,4.0,10.38,1.715
MES,1330,13,30,ALL,ALL_BREAKS,ASIA-FADE,Asia winding down,117.0,513,0.0994,0.3665,51.0,1.5,1.0
MES,1330,13,30,ALL,G4+,ASIA-FADE,Asia winding down,117.0,44,-0.1136,0.2955,-5.0,5.5,1.094
MES,1330,13,30,ALL,G8+,ASIA-FADE,Asia winding down,117.0,6,0.0,0.3333,0.0,13.5,0.983
MES,1345,13,45,ALL,ALL_BREAKS,ASIA-FADE,Asia winding down,101.9,515,0.0369,0.3456,19.0,1.5,0.917
MES,1345,13,45,ALL,G4+,ASIA-FADE,Asia winding down,101.9,44,-0.0455,0.3182,-2.0,5.88,0.968
MES,1345,13,45,ALL,G8+,ASIA-FADE,Asia winding down,101.9,6,0.0,0.3333,0.0,10.38,1.283
MES,1400,14,0,ALL,ALL_BREAKS,DEAD-ZONE,"Asia closed, EU not open",109.0,513,0.1579,0.386,81.0,1.5,1.155
MES,1400,14,0,ALL,G4+,DEAD-ZONE,"Asia closed, EU not open",109.0,47,-0.1064,0.2979,-5.0,5.25,0.882
MES,1400,14,0,ALL,G8+,DEAD-ZONE,"Asia closed, EU not open",109.0,10,-0.1,0.3,-1.0,11.12,1.153
MES,1415,14,15,ALL,ALL_BREAKS,DEAD-ZONE,"Asia closed, EU not open",93.6,513,0.1462,0.3821,75.0,1.25,1.2
MES,1415,14,15,ALL,G4+,DEAD-ZONE,"Asia closed, EU not open",93.6,30,0.3,0.4333,9.0,5.88,1.157
MES,1415,14,15,ALL,G8+,DEAD-ZONE,"Asia closed, EU not open",93.6,9,0.6667,0.5556,6.0,13.0,2.077
MES,1430,14,30,ALL,ALL_BREAKS,DEAD-ZONE,"Asia closed, EU not open",92.4,511,0.1037,0.3679,53.0,1.25,1.25
MES,1430,14,30,ALL,G4+,DEAD-ZONE,"Asia closed, EU not open",92.4,36,-0.1667,0.2778,-6.0,5.75,1.149
MES,1430,14,30,ALL,G8+,DEAD-ZONE,"Asia closed, EU not open",92.4,10,-0.7,0.1,-7.0,8.88,1.107
MES,1445,14,45,ALL,ALL_BREAKS,DEAD-ZONE,"Asia closed, EU not open",77.6,511,0.1624,0.3875,83.0,1.25,1.2
MES,1445,14,45,ALL,G4+,DEAD-ZONE,"Asia closed, EU not open",77.6,25,-0.4,0.2,-10.0,5.0,1.0
MES,1445,14,45,ALL,G8+,DEAD-ZONE,"Asia closed, EU not open",77.6,6,-0.5,0.1667,-3.0,10.75,0.461
MES,1500,15,0,WINTER,ALL_BREAKS,EU-EARLY,Europe pre-market,129.2,216,0.3056,0.4352,66.0,1.5,1.31
MES,1500,15,0,WINTER,G4+,EU-EARLY,Europe pre-market,129.2,20,0.35,0.45,7.0,5.25,1.258
MES,1500,15,0,SUMMER,ALL_BREAKS,EU-EARLY,Europe pre-market,129.2,297,0.1515,0.3838,45.0,1.75,1.308
MES,1500,15,0,SUMMER,G4+,EU-EARLY,Europe pre-market,129.2,32,0.0312,0.3438,1.0,5.75,1.684
MES,1500,15,0,SUMMER,G8+,EU-EARLY,Europe pre-market,129.2,8,-0.25,0.25,-2.0,11.75,1.226
MES,1515,15,15,WINTER,ALL_BREAKS,EU-EARLY,Europe pre-market,97.7,216,0.1806,0.3935,39.0,1.25,1.0
MES,1515,15,15,WINTER,G4+,EU-EARLY,Europe pre-market,97.7,19,0.4211,0.4737,8.0,5.0,1.96
MES,1515,15,15,SUMMER,ALL_BREAKS,EU-EARLY,Europe pre-market,97.7,297,0.1515,0.3838,45.0,1.5,1.167
MES,1515,15,15,SUMMER,G4+,EU-EARLY,Europe pre-market,97.7,25,0.44,0.48,11.0,5.75,1.941
MES,1515,15,15,SUMMER,G8+,EU-EARLY,Europe pre-market,97.7,6,0.5,0.5,3.0,11.38,1.677
MES,1530,15,30,WINTER,ALL_BREAKS,EU-EARLY,Europe pre-market,128.8,217,0.1336,0.3779,29.0,1.75,1.25
MES,1530,15,30,WINTER,G4+,EU-EARLY,Europe pre-market,128.8,21,0.1429,0.381,3.0,4.5,1.353
MES,1530,15,30,SUMMER,ALL_BREAKS,EU-EARLY,Europe pre-market,128.8,297,0.101,0.367,30.0,1.75,1.0
MES,1530,15,30,SUMMER,G4+,EU-EARLY,Europe pre-market,128.8,42,0.3571,0.4524,15.0,5.88,1.699
MES,1530,15,30,SUMMER,G8+,EU-EARLY,Europe pre-market,128.8,9,0.6667,0.5556,6.0,10.75,2.0
MES,1545,15,45,WINTER,ALL_BREAKS,EU-EARLY,Europe pre-market,107.5,216,0.1111,0.3704,24.0,1.25,1.083
MES,1545,15,45,WINTER,G4+,EU-EARLY,Europe pre-market,107.5,13,0.1538,0.3846,2.0,5.75,0.4
MES,1545,15,45,SUMMER,ALL_BREAKS,EU-EARLY,Europe pre-market,107.5,298,0.1376,0.3792,41.0,1.75,1.143
MES,1545,15,45,SUMMER,G4+,EU-EARLY,Europe pre-market,107.5,38,-0.1316,0.2895,-5.0,4.5,1.342
MES,1545,15,45,SUMMER,G8+,EU-EARLY,Europe pre-market,107.5,6,-0.5,0.1667,-3.0,16.12,1.126
MES,1600,16,0,WINTER,ALL_BREAKS,EU-EARLY,Europe opening,197.2,215,0.1971,0.4,42.38,1.75,1.4
MES,1600,16,0,WINTER,G4+,EU-EARLY,Europe opening,197.2,28,0.1562,0.3929,4.38,5.5,1.344
MES,1600,16,0,SUMMER,ALL_BREAKS,EU-EARLY,Europe opening,197.2,299,0.0507,0.3512,15.15,2.75,1.0
MES,1600,16,0,SUMMER,G4+,EU-EARLY,Europe opening,197.2,66,0.0781,0.3636,5.15,5.25,1.026
MES,1600,16,0,SUMMER,G8+,EU-EARLY,Europe opening,197.2,17,0.2736,0.4118,4.65,11.75,1.125
MES,1615,16,15,WINTER,ALL_BREAKS,EU-EARLY,Europe opening,140.1,217,0.0783,0.3594,17.0,1.5,1.0
MES,1615,16,15,WINTER,G4+,EU-EARLY,Europe opening,140.1,23,0.0435,0.3478,1.0,5.5,0.882
MES,1615,16,15,SUMMER,ALL_BREAKS,EU-EARLY,Europe opening,140.1,299,0.1438,0.3813,43.0,2.0,1.0
MES,1615,16,15,SUMMER,G4+,EU-EARLY,Europe opening,140.1,44,0.2955,0.4318,13.0,5.62,1.26
MES,1615,16,15,SUMMER,G8+,EU-EARLY,Europe opening,140.1,9,0.3333,0.4444,3.0,10.5,1.312
MES,1630,16,30,WINTER,ALL_BREAKS,EU-EARLY,Europe opening,163.9,217,0.0507,0.3502,11.0,2.0,1.0
MES,1630,16,30,WINTER,G4+,EU-EARLY,Europe opening,163.9,33,0.2727,0.4242,9.0,5.25,0.781
MES,1630,16,30,SUMMER,ALL_BREAKS,EU-EARLY,Europe opening,163.9,299,0.2843,0.4281,85.0,2.25,1.429
MES,1630,16,30,SUMMER,G4+,EU-EARLY,Europe opening,163.9,55,0.2545,0.4182,14.0,4.5,1.235
MES,1630,16,30,SUMMER,G8+,EU-EARLY,Europe opening,163.9,7,0.7143,0.5714,5.0,11.0,2.03
MES,1645,16,45,WINTER,ALL_BREAKS,EU-EARLY,Europe opening,135.9,214,-0.0047,0.3318,-1.0,1.75,1.0
MES,1645,16,45,WINTER,G4+,EU-EARLY,Europe opening,135.9,18,-0.3333,0.2222,-6.0,4.75,0.6
MES,1645,16,45,SUMMER,ALL_BREAKS,EU-EARLY,Europe opening,135.9,299,0.0334,0.3445,10.0,2.0,1.0
MES,1645,16,45,SUMMER,G4+,EU-EARLY,Europe opening,135.9,41,-0.122,0.2927,-5.0,5.5,1.192
MES,1645,16,45,SUMMER,G8+,EU-EARLY,Europe opening,135.9,13,0.3846,0.4615,5.0,10.0,1.951
MES,1700,17,0,WINTER,ALL_BREAKS,EU-EARLY,Europe morning,310.3,217,0.023,0.341,5.0,2.5,1.0
MES,1700,17,0,WINTER,G4+,EU-EARLY,Europe morning,310.3,50,0.14,0.38,7.0,5.25,1.025
MES,1700,17,0,WINTER,G8+,EU-EARLY,Europe morning,310.3,8,0.125,0.375,1.0,8.75,1.484
MES,1700,17,0,SUMMER,ALL_BREAKS,EU-EARLY,Europe morning,310.3,299,0.1066,0.3679,31.87,3.25,1.224
MES,1700,17,0,SUMMER,G4+,EU-EARLY,Europe morning,310.3,126,0.245,0.4127,30.87,5.5,1.385
MES,1700,17,0,SUMMER,G8+,EU-EARLY,Europe morning,310.3,27,-0.079,0.2963,-2.13,10.75,0.969
MES,1715,17,15,ALL,ALL_BREAKS,EU-EARLY,Europe morning,223.9,516,0.063,0.3547,32.52,2.75,1.0
MES,1715,17,15,ALL,G4+,EU-EARLY,Europe morning,223.9,140,0.0037,0.3357,0.52,5.0,1.0
MES,1715,17,15,ALL,G8+,EU-EARLY,Europe morning,223.9,18,0.1399,0.3889,2.52,11.62,1.159
MES,1730,17,30,ALL,ALL_BREAKS,EU-EARLY,Europe morning,222.8,516,0.1802,0.3934,93.0,2.75,1.134
MES,1730,17,30,ALL,G4+,EU-EARLY,Europe morning,222.8,133,-0.0301,0.3233,-4.0,5.25,1.167
MES,1730,17,30,ALL,G8+,EU-EARLY,Europe morning,222.8,24,0.125,0.375,3.0,10.88,1.405
MES,1745,17,45,ALL,ALL_BREAKS,EU-EARLY,Europe morning,190.3,516,0.1453,0.3818,75.0,2.5,1.071
MES,1745,17,45,ALL,G4+,EU-EARLY,Europe morning,190.3,100,0.08,0.36,8.0,5.25,0.906
MES,1745,17,45,ALL,G8+,EU-EARLY,Europe morning,190.3,22,0.5,0.5,11.0,9.62,1.578
MES,1800,18,0,WINTER,ALL_BREAKS,EU-MAIN,London open,379.2,217,0.1751,0.3917,38.0,3.75,1.31
MES,1800,18,0,WINTER,G4+,EU-MAIN,London open,379.2,104,0.0962,0.3654,10.0,5.75,1.243
MES,1800,18,0,WINTER,G8+,EU-MAIN,London open,379.2,18,-0.1667,0.2778,-3.0,9.75,1.529
MES,1800,18,0,SUMMER,ALL_BREAKS,EU-MAIN,London open,379.2,299,0.0105,0.3378,3.13,3.5,1.0
MES,1800,18,0,SUMMER,G4+,EU-MAIN,London open,379.2,121,-0.0402,0.3223,-4.87,5.0,0.944
MES,1800,18,0,SUMMER,G8+,EU-MAIN,London open,379.2,28,-0.388,0.2143,-10.87,10.5,0.706
MES,1815,18,15,ALL,ALL_BREAKS,EU-MAIN,London open,242.3,516,0.2035,0.4012,105.0,3.0,1.295
MES,1815,18,15,ALL,G4+,EU-MAIN,London open,242.3,158,0.2722,0.4241,43.0,5.5,1.292
MES,1815,18,15,ALL,G8+,EU-MAIN,London open,242.3,22,0.5,0.5,11.0,9.5,1.875
MES,1830,18,30,ALL,ALL_BREAKS,EU-MAIN,London open,229.4,516,0.1482,0.3837,76.48,2.75,1.0
MES,1830,18,30,ALL,G4+,EU-MAIN,London open,229.4,166,0.0932,0.3675,15.48,5.5,0.866
MES,1830,18,30,ALL,G8+,EU-MAIN,London open,229.4,22,0.2273,0.4091,5.0,10.5,1.37
MES,1845,18,45,ALL,ALL_BREAKS,EU-MAIN,London open,190.2,516,0.0698,0.3566,36.0,2.5,1.0
MES,1845,18,45,ALL,G4+,EU-MAIN,London open,190.2,121,0.1405,0.3802,17.0,5.25,1.0
MES,1845,18,45,ALL,G8+,EU-MAIN,London open,190.2,15,0.2,0.4,3.0,11.0,1.484
MES,1900,19,0,ALL,ALL_BREAKS,EU-MAIN,Europe mid-session,254.9,516,0.0349,0.345,18.0,3.0,1.0
MES,1900,19,0,ALL,G4+,EU-MAIN,Europe mid-session,254.9,164,0.2805,0.4268,46.0,5.5,1.431
MES,1900,19,0,ALL,G8+,EU-MAIN,Europe mid-session,254.9,31,0.1613,0.3871,5.0,10.5,0.656
