batch_id,batch_index,total_batches,item_count,ready_count,blocked_count,first_rank,last_rank,manifest_path,command_path
batch_001,1,21,25,25,0,37,61,batches/batch_001.csv,batches/batch_001_commands.ps1
batch_002,2,21,25,25,0,62,86,batches/batch_002.csv,batches/batch_002_commands.ps1
batch_003,3,21,25,25,0,87,111,batches/batch_003.csv,batches/batch_003_commands.ps1
batch_004,4,21,25,25,0,112,136,batches/batch_004.csv,batches/batch_004_commands.ps1
batch_005,5,21,25,25,0,137,161,batches/batch_005.csv,batches/batch_005_commands.ps1
batch_006,6,21,25,25,0,162,186,batches/batch_006.csv,batches/batch_006_commands.ps1
batch_007,7,21,25,25,0,187,211,batches/batch_007.csv,batches/batch_007_commands.ps1
batch_008,8,21,25,25,0,212,236,batches/batch_008.csv,batches/batch_008_commands.ps1
batch_009,9,21,25,25,0,237,261,batches/batch_009.csv,batches/batch_009_commands.ps1
batch_010,10,21,25,25,0,262,286,batches/batch_010.csv,batches/batch_010_commands.ps1
batch_011,11,21,25,25,0,287,311,batches/batch_011.csv,batches/batch_011_commands.ps1
batch_012,12,21,25,25,0,312,336,batches/batch_012.csv,batches/batch_012_commands.ps1
batch_013,13,21,25,25,0,337,361,batches/batch_013.csv,batches/batch_013_commands.ps1
batch_014,14,21,25,25,0,362,386,batches/batch_014.csv,batches/batch_014_commands.ps1
batch_015,15,21,25,25,0,387,411,batches/batch_015.csv,batches/batch_015_commands.ps1
batch_016,16,21,25,25,0,412,436,batches/batch_016.csv,batches/batch_016_commands.ps1
batch_017,17,21,25,25,0,437,461,batches/batch_017.csv,batches/batch_017_commands.ps1
batch_018,18,21,25,25,0,462,486,batches/batch_018.csv,batches/batch_018_commands.ps1
batch_019,19,21,25,25,0,487,511,batches/batch_019.csv,batches/batch_019_commands.ps1
batch_020,20,21,25,25,0,512,536,batches/batch_020.csv,batches/batch_020_commands.ps1
batch_021,21,21,23,23,0,537,559,batches/batch_021.csv,batches/batch_021_commands.ps1
