instrument,orb_label,orb_minutes,entry_model,rr_target,confirm_bars,filter_type,sample_size,win_rate,expr,sharpe,wfe,fdr_significant,wf_passed,status,promoted_at
MNQ,EUROPE_FLOW,5,E2,1.0,1,ORB_G5,1222,0.6113,0.108,0.1218,1.127,True,True,active,2026-03-23 16:02:12.907695+10:00
MNQ,EUROPE_FLOW,5,E2,1.0,1,ORB_G6,1185,0.6084,0.1072,0.1204,1.0553,True,True,active,2026-03-23 16:02:12.965197+10:00
MNQ,EUROPE_FLOW,5,E2,1.0,1,ORB_G4,1254,0.6132,0.1068,0.1211,1.0922,True,True,active,2026-03-23 16:02:12.856077+10:00
MNQ,EUROPE_FLOW,15,E2,3.0,1,ORB_G6,1249,0.245,0.1039,0.0692,0.683,True,True,active,2026-03-23 16:02:14.298840+10:00
MNQ,EUROPE_FLOW,5,E2,1.0,1,NO_FILTER,1268,0.612,0.1025,0.1162,1.1191,True,True,active,2026-03-23 16:02:12.773189+10:00
MNQ,EUROPE_FLOW,5,E2,3.0,1,ORB_G4,1252,0.3051,0.1021,0.0612,2.0048,False,True,active,2026-03-23 16:02:14.154381+10:00
MNQ,EUROPE_FLOW,15,E2,3.0,1,ORB_G5,1256,0.2444,0.1015,0.0677,0.71,True,True,active,2026-03-23 16:02:14.250246+10:00
MNQ,EUROPE_FLOW,5,E2,3.0,1,ORB_G5,1220,0.3033,0.1007,0.0602,2.2048,False,True,active,2026-03-23 16:02:14.218172+10:00
MNQ,EUROPE_FLOW,15,E2,3.0,1,ORB_G4,1258,0.244,0.1001,0.0668,0.699,True,True,active,2026-03-23 16:02:14.180356+10:00
MNQ,EUROPE_FLOW,15,E2,3.0,1,ORB_G8,1222,0.243,0.0997,0.0664,0.7897,True,True,active,2026-03-23 16:02:14.345968+10:00
MNQ,EUROPE_FLOW,15,E2,3.0,1,NO_FILTER,1260,0.2437,0.0988,0.066,0.706,True,True,active,2026-03-23 16:02:14.129614+10:00
MNQ,EUROPE_FLOW,5,E2,3.0,1,ORB_G6,1183,0.3009,0.097,0.0579,2.2646,False,True,active,2026-03-23 16:02:14.272139+10:00
MNQ,EUROPE_FLOW,5,E2,3.0,1,NO_FILTER,1266,0.3041,0.0969,0.0582,2.0242,False,True,active,2026-03-23 16:02:14.107820+10:00
MNQ,EUROPE_FLOW,30,E2,2.0,1,VOL_RV12_N20,1001,0.3796,0.0837,0.0604,1.9898,False,True,active,2026-03-23 16:02:14.061825+10:00
MNQ,EUROPE_FLOW,15,E2,2.0,1,VOL_RV12_N20,924,0.3225,0.0772,0.0643,0.8773,False,True,active,2026-03-23 16:02:14.038755+10:00
MNQ,EUROPE_FLOW,15,E2,1.5,1,VOL_RV12_N20,925,0.3946,0.0767,0.0748,1.2255,False,True,active,2026-03-23 16:02:13.598678+10:00
MNQ,EUROPE_FLOW,15,E2,2.0,1,ORB_G6,1254,0.3836,0.0759,0.0556,1.1723,False,True,active,2026-03-23 16:02:13.883559+10:00
MNQ,EUROPE_FLOW,15,E2,2.0,1,ORB_G4,1263,0.3824,0.072,0.0528,1.2341,False,True,active,2026-03-23 16:02:13.726949+10:00
MNQ,EUROPE_FLOW,15,E2,2.0,1,ORB_G5,1261,0.3822,0.0718,0.0526,1.2461,False,True,active,2026-03-23 16:02:13.805112+10:00
MNQ,EUROPE_FLOW,15,E2,1.0,1,ORB_G6,1257,0.5068,0.0709,0.0874,1.0631,True,True,active,2026-03-23 16:02:12.988185+10:00
MNQ,EUROPE_FLOW,15,E2,1.0,1,NO_FILTER,1268,0.5071,0.0699,0.0863,1.0761,True,True,active,2026-03-23 16:02:12.802920+10:00
MNQ,EUROPE_FLOW,15,E2,1.5,1,ORB_G6,1256,0.3925,0.0687,0.0674,1.672,True,True,active,2026-03-23 16:02:13.450532+10:00
MNQ,EUROPE_FLOW,15,E2,1.5,1,NO_FILTER,1267,0.3923,0.067,0.0658,1.7307,True,True,active,2026-03-23 16:02:13.218768+10:00
MNQ,EUROPE_FLOW,15,E2,1.5,1,ORB_G4,1265,0.3921,0.067,0.0658,1.6891,True,True,active,2026-03-23 16:02:13.304153+10:00
MNQ,EUROPE_FLOW,15,E2,1.5,1,ORB_G5,1263,0.3919,0.067,0.0657,1.7027,True,True,active,2026-03-23 16:02:13.377998+10:00
MNQ,EUROPE_FLOW,15,E2,1.5,1,ORB_G8,1229,0.3897,0.0656,0.0642,1.51,False,True,active,2026-03-23 16:02:13.522991+10:00
MNQ,LONDON_METALS,30,E2,3.0,1,ORB_G8_FAST5,422,0.2512,0.1485,0.0956,0.6171,False,True,active,2026-03-23 16:02:20.463773+10:00
MNQ,LONDON_METALS,30,E2,3.0,1,ORB_G6_FAST5,423,0.2506,0.1464,0.0943,0.6372,False,True,active,2026-03-23 16:02:20.143547+10:00
MNQ,LONDON_METALS,15,E2,1.5,1,ORB_G8_NOMON,1009,0.4767,0.1262,0.1069,0.4175,True,True,active,2026-03-23 16:02:17.450219+10:00
MNQ,LONDON_METALS,15,E2,1.5,1,ORB_G4_NOMON,1015,0.4768,0.1256,0.1064,0.3887,True,True,active,2026-03-23 16:02:16.066559+10:00
MNQ,LONDON_METALS,15,E2,1.5,1,ORB_G6_NOMON,1014,0.4763,0.1248,0.1057,0.3925,True,True,active,2026-03-23 16:02:16.859367+10:00
MNQ,LONDON_METALS,5,E2,1.5,1,VOL_RV12_N20,828,0.4215,0.1194,0.117,0.7025,True,True,active,2026-03-23 16:02:17.748955+10:00
MNQ,LONDON_METALS,30,E2,3.0,1,ORB_G8_FAST5,417,0.2926,0.1179,0.0677,0.7954,False,True,active,2026-03-23 16:02:20.435429+10:00
MNQ,LONDON_METALS,30,E2,3.0,1,ORB_G6_FAST5,418,0.2919,0.1153,0.0662,0.8415,False,True,active,2026-03-23 16:02:20.115635+10:00
MNQ,LONDON_METALS,30,E2,3.0,1,ORB_G8_NOMON,988,0.2409,0.1114,0.0728,0.8176,False,True,active,2026-03-23 16:02:20.549068+10:00
MNQ,LONDON_METALS,30,E2,3.0,1,ORB_G6_NOMON,990,0.2404,0.1096,0.0717,0.8274,False,True,active,2026-03-23 16:02:20.219220+10:00
MNQ,LONDON_METALS,30,E2,3.0,1,ORB_G8,1221,0.24,0.1088,0.0711,1.0483,True,True,active,2026-03-23 16:02:20.593616+10:00
MNQ,LONDON_METALS,30,E2,3.0,1,ORB_G8_CONT,1217,0.2399,0.1087,0.0711,1.0944,True,True,active,2026-03-23 16:02:20.336922+10:00
MNQ,LONDON_METALS,30,E2,3.0,1,ORB_G6,1223,0.2396,0.1074,0.0702,1.0609,True,True,active,2026-03-23 16:02:20.266669+10:00
MNQ,LONDON_METALS,30,E2,3.0,1,ORB_G6_CONT,1219,0.2395,0.1073,0.0702,1.1084,True,True,active,2026-03-23 16:02:20.011042+10:00
MNQ,LONDON_METALS,15,E2,1.0,1,ORB_G8_NOMON,1009,0.5857,0.1067,0.1145,0.4231,True,True,active,2026-03-23 16:02:15.335257+10:00
MNQ,LONDON_METALS,5,E2,2.0,1,ORB_G8_FAST5,820,0.3402,0.1057,0.0886,0.7822,True,True,active,2026-03-23 16:02:19.003808+10:00
MNQ,LONDON_METALS,30,E2,3.0,1,ORB_G8_NOMON,979,0.2891,0.1051,0.0606,0.8549,False,True,active,2026-03-23 16:02:20.527572+10:00
MNQ,LONDON_METALS,5,E2,4.0,1,VOL_RV12_N20,823,0.1956,0.1051,0.0605,0.5939,False,True,active,2026-03-23 16:02:20.668940+10:00
MNQ,LONDON_METALS,15,E2,1.0,1,ORB_G4_NOMON,1015,0.5852,0.105,0.1127,0.396,True,True,active,2026-03-23 16:02:14.574718+10:00
MNQ,LONDON_METALS,15,E2,1.0,1,ORB_G6_NOMON,1014,0.5848,0.1046,0.1122,0.3984,True,True,active,2026-03-23 16:02:15.010815+10:00
MNQ,LONDON_METALS,15,E2,1.5,1,ORB_G8_NOMON,1009,0.4044,0.1036,0.0999,0.4548,True,True,active,2026-03-23 16:02:17.491098+10:00
MNQ,LONDON_METALS,5,E2,2.0,1,ORB_G6_FAST5,876,0.3413,0.103,0.0867,0.6811,True,True,active,2026-03-23 16:02:18.617308+10:00
MNQ,LONDON_METALS,30,E2,3.0,1,ORB_G6_NOMON,981,0.2885,0.1029,0.0593,0.8695,False,True,active,2026-03-23 16:02:20.193987+10:00
MNQ,LONDON_METALS,15,E2,1.5,1,ORB_G4_NOMON,1015,0.4039,0.102,0.0985,0.4378,True,True,active,2026-03-23 16:02:16.100898+10:00
MNQ,LONDON_METALS,15,E2,1.5,1,ORB_G6_NOMON,1014,0.4034,0.1012,0.0976,0.4428,True,True,active,2026-03-23 16:02:16.886951+10:00
MNQ,LONDON_METALS,30,E2,3.0,1,ORB_G8_CONT,1203,0.2876,0.1004,0.0579,1.1266,False,True,active,2026-03-23 16:02:20.311656+10:00
MNQ,LONDON_METALS,5,E2,2.0,1,ORB_G4_FAST5,889,0.3408,0.1,0.0844,0.622,True,True,active,2026-03-23 16:02:17.984556+10:00
MNQ,LONDON_METALS,30,E2,3.0,1,ORB_G8,1207,0.2875,0.0999,0.0577,1.0727,False,True,active,2026-03-23 16:02:20.572564+10:00
MNQ,LONDON_METALS,30,E2,3.0,1,ORB_G6_CONT,1205,0.2871,0.0986,0.0569,1.1468,False,True,active,2026-03-23 16:02:19.984471+10:00
MNQ,LONDON_METALS,15,E2,1.5,1,ATR70_VOL,298,0.396,0.0984,0.0937,0.2606,False,True,active,2026-03-23 16:02:15.571406+10:00
MNQ,LONDON_METALS,5,E2,2.0,1,ORB_G5_FAST5,886,0.3397,0.0983,0.0829,0.6158,True,True,active,2026-03-23 16:02:18.278202+10:00
MNQ,LONDON_METALS,30,E2,3.0,1,ORB_G6,1209,0.287,0.0981,0.0566,1.091,False,True,active,2026-03-23 16:02:20.243336+10:00
MNQ,LONDON_METALS,5,E2,2.0,1,ORB_G8_NOMON,946,0.3362,0.0973,0.0816,0.7072,True,True,active,2026-03-23 16:02:19.133993+10:00
MNQ,LONDON_METALS,5,E2,1.0,1,VOL_RV12_N20,828,0.529,0.0963,0.1203,0.7112,True,True,active,2026-03-23 16:02:15.547139+10:00
MNQ,LONDON_METALS,5,E2,2.0,1,ORB_G8_CONT,1172,0.3353,0.0959,0.0804,0.7338,True,True,active,2026-03-23 16:02:18.922043+10:00
MNQ,LONDON_METALS,5,E2,2.0,1,ORB_G8,1175,0.3353,0.0958,0.0803,0.7233,True,True,active,2026-03-23 16:02:19.219761+10:00
MNQ,LONDON_METALS,5,E2,1.5,1,ORB_G8_NOMON,946,0.4101,0.0941,0.0928,0.8494,True,True,active,2026-03-23 16:02:17.568653+10:00
