trading_day,session,tier,side,entry_price,stop_price,target_price,exit_price,outcome,pnl_r,cum_r,rolling_20_expr,rolling_20_wr,max_dd_r
2026-01-02,CME_PRECLOSE,CORE,long,25401.5,25369.0,25434.0,25369.0,loss,-1.0,-1.0,-1.0,0.0,1.0
2026-01-02,COMEX_SETTLE,CORE,long,25336.25,25315.75,25356.75,25315.75,loss,-1.0,-1.0,-1.0,0.0,1.0
2026-01-02,EUROPE_FLOW,CORE,short,25635.5,25647.75,25623.25,25647.75,loss,-1.0,-1.0,-1.0,0.0,1.0
2026-01-02,NYSE_OPEN,CORE,short,25654.0,25733.5,25574.5,25733.5,loss,-1.0,-1.0,-1.0,0.0,1.0
2026-01-02,TOKYO_OPEN,REGIME,long,25499.5,25486.25,25512.75,25486.25,loss,-1.0,-1.0,-1.0,0.0,1.0
2026-01-02,US_DATA_1000,CORE,short,25731.0,25780.0,25682.0,25682.0,win,0.9456,0.95,0.9456,1.0,0.0
2026-01-05,CME_PRECLOSE,CORE,short,25598.0,25613.0,25583.0,25583.0,win,0.8326,-0.17,-0.0837,0.5,1.0
2026-01-05,COMEX_SETTLE,CORE,short,25600.25,25615.5,25585.0,25615.5,loss,-1.0,-2.0,-1.0,0.0,2.0
2026-01-05,EUROPE_FLOW,CORE,short,25497.0,25508.0,25486.0,25486.0,win,0.7785,-0.22,-0.1108,0.5,1.0
2026-01-05,NYSE_OPEN,CORE,short,25581.25,25673.25,25489.25,25673.25,loss,-1.0,-2.0,-1.0,0.0,2.0
2026-01-05,TOKYO_OPEN,REGIME,short,25454.25,25475.5,25433.0,25475.5,loss,-1.0,-2.0,-1.0,0.0,2.0
2026-01-05,US_DATA_1000,CORE,long,25642.25,25565.5,25719.0,25565.5,loss,-1.0,-0.05,-0.0272,0.5,1.0
2026-01-06,CME_PRECLOSE,CORE,short,25824.0,25837.0,25811.0,25811.0,win,0.8093,0.64,0.214,0.667,1.0
2026-01-06,COMEX_SETTLE,CORE,long,25768.75,25750.0,25787.5,25787.5,win,0.8638,-1.14,-0.3787,0.333,2.0
2026-01-06,EUROPE_FLOW,CORE,short,25654.75,25669.75,25639.75,25639.75,win,0.8326,0.61,0.2037,0.667,1.0
2026-01-06,NYSE_OPEN,CORE,short,25631.25,25675.5,25587.0,25675.5,loss,-1.0,-3.0,-1.0,0.0,3.0
2026-01-06,TOKYO_OPEN,REGIME,short,25564.0,25579.5,25548.5,25579.5,loss,-1.0,-3.0,-1.0,0.0,3.0
2026-01-06,US_DATA_1000,CORE,short,25740.25,25773.0,25707.5,25773.0,loss,-1.0,-1.05,-0.3515,0.333,2.0
2026-01-07,CME_PRECLOSE,CORE,long,25842.0,25826.75,25857.25,25826.75,loss,-1.0,-0.36,-0.0895,0.5,1.0
2026-01-07,COMEX_SETTLE,CORE,long,25952.5,25929.0,25976.0,25976.0,win,0.8898,-0.25,-0.0616,0.5,2.0
2026-01-07,EUROPE_FLOW,CORE,long,25776.75,25764.25,25789.25,25764.25,loss,-1.0,-0.39,-0.0972,0.5,1.0
2026-01-07,NYSE_OPEN,CORE,long,25822.75,25770.75,25874.75,25874.75,win,0.9487,-2.05,-0.5128,0.25,3.0
2026-01-07,TOKYO_OPEN,REGIME,short,25820.5,25841.0,25800.0,25800.0,win,0.8747,-2.13,-0.5313,0.25,3.0
2026-01-07,US_DATA_1000,CORE,long,25866.0,25812.0,25920.0,25812.0,loss,-1.0,-2.05,-0.5136,0.25,3.0
2026-01-08,CME_PRECLOSE,CORE,short,25675.25,25692.0,25658.5,25692.0,loss,-1.0,-1.36,-0.2716,0.4,2.0
2026-01-08,COMEX_SETTLE,CORE,long,25662.25,25648.25,25676.25,25648.25,loss,-1.0,-1.25,-0.2493,0.4,2.0
2026-01-08,EUROPE_FLOW,CORE,long,25707.5,25680.25,25734.75,25734.75,win,0.9043,0.52,0.1031,0.6,1.0
2026-01-08,NYSE_OPEN,CORE,short,25692.25,25802.75,25581.75,25581.75,win,0.9755,-1.08,-0.2152,0.4,3.0
2026-01-08,TOKYO_OPEN,REGIME,short,25817.75,25825.75,25809.75,25825.75,loss,-1.0,-3.13,-0.6251,0.2,3.13
2026-01-08,US_DATA_1000,CORE,long,25615.25,25569.5,25661.0,25661.0,win,0.9419,-1.11,-0.2225,0.4,3.0
2026-01-09,CME_PRECLOSE,CORE,short,25955.5,25965.0,25946.0,25946.0,win,0.7479,-0.61,-0.1017,0.5,2.0
2026-01-09,COMEX_SETTLE,CORE,long,25929.25,25906.75,25951.75,25951.75,win,0.8852,-0.36,-0.0602,0.5,2.0
2026-01-09,EUROPE_FLOW,CORE,short,25681.5,25692.0,25671.0,25671.0,win,0.7692,1.28,0.2141,0.667,1.0
2026-01-09,NYSE_OPEN,CORE,long,25715.5,25648.25,25782.75,25782.75,win,0.9601,-0.12,-0.0193,0.5,3.0
2026-01-09,TOKYO_OPEN,REGIME,long,25685.25,25671.75,25698.75,25671.75,loss,-1.0,-4.13,-0.6875,0.167,4.13
2026-01-09,US_DATA_1000,CORE,short,25701.5,25759.75,25643.25,25643.25,win,0.954,-0.16,-0.0264,0.5,3.0
2026-01-12,CME_PRECLOSE,CORE,short,25974.25,25991.0,25957.5,25957.5,win,0.8488,0.24,0.0341,0.571,2.0
2026-01-12,COMEX_SETTLE,CORE,short,25981.5,25993.5,25969.5,25969.5,win,0.7951,0.43,0.062,0.571,2.0
2026-01-12,EUROPE_FLOW,CORE,long,25733.0,25715.5,25750.5,25715.5,loss,-1.0,0.28,0.0407,0.571,1.0
2026-01-12,NYSE_OPEN,CORE,long,25860.25,25743.75,25976.75,25976.75,win,0.9768,0.86,0.123,0.571,3.0
2026-01-12,TOKYO_OPEN,REGIME,short,25880.5,25902.5,25858.5,25858.5,win,0.8828,-3.24,-0.4632,0.286,4.13
2026-01-12,US_DATA_1000,CORE,long,25908.0,25872.5,25943.5,25872.5,loss,-1.0,-1.16,-0.1655,0.429,3.0
2026-01-13,CME_PRECLOSE,CORE,long,25859.5,25836.25,25882.75,25882.75,win,0.8887,1.13,0.1409,0.625,2.0
2026-01-13,COMEX_SETTLE,CORE,long,25893.75,25867.5,25920.0,25867.5,loss,-1.0,-0.57,-0.0708,0.5,2.0
2026-01-13,EUROPE_FLOW,CORE,long,25921.75,25906.75,25936.75,25906.75,loss,-1.0,-0.72,-0.0894,0.5,2.0
2026-01-13,NYSE_OPEN,CORE,long,25988.0,25930.75,26045.25,25930.75,loss,-1.0,-0.14,-0.0174,0.5,3.0
2026-01-13,TOKYO_OPEN,REGIME,short,25881.5,25899.75,25863.25,25863.25,win,0.8603,-2.38,-0.2978,0.375,4.13
2026-01-13,US_DATA_1000,CORE,short,25892.25,25971.25,25813.25,25813.25,win,0.9659,-0.19,-0.0241,0.5,3.0
2026-01-14,CME_PRECLOSE,CORE,short,25570.0,25593.25,25546.75,25593.25,loss,-1.0,0.13,0.0141,0.556,2.0
2026-01-14,COMEX_SETTLE,CORE,short,25438.25,25507.5,25369.0,25507.5,loss,-1.0,-1.57,-0.174,0.444,2.0
2026-01-14,EUROPE_FLOW,CORE,long,25864.25,25851.5,25877.0,25851.5,loss,-1.0,-1.72,-0.1906,0.444,3.0
2026-01-14,NYSE_OPEN,CORE,short,25667.75,25788.5,25547.0,25547.0,win,0.9776,0.84,0.0932,0.556,3.0
2026-01-14,TOKYO_OPEN,REGIME,long,25911.0,25883.25,25938.75,25883.25,loss,-1.0,-3.38,-0.3758,0.333,4.13
2026-01-14,US_DATA_1000,CORE,long,25589.75,25533.0,25646.5,25646.5,win,0.9529,0.76,0.0845,0.556,3.0
2026-01-15,COMEX_SETTLE,CORE,short,25892.75,25908.5,25877.0,25877.0,win,0.84,-0.73,-0.0726,0.5,2.0
2026-01-15,EUROPE_FLOW,CORE,short,25692.0,25708.0,25676.0,25676.0,win,0.8423,-0.87,-0.0873,0.5,3.0
2026-01-15,NYSE_OPEN,CORE,short,25881.0,25946.75,25815.25,25946.75,loss,-1.0,-0.16,-0.0161,0.5,3.0
2026-01-15,TOKYO_OPEN,REGIME,short,25594.5,25607.5,25581.5,25607.5,loss,-1.0,-4.38,-0.4382,0.3,4.38
2026-01-15,US_DATA_1000,CORE,short,25854.75,25888.0,25821.5,25888.0,loss,-1.0,-0.24,-0.024,0.5,3.0
