ledger_version,phase_name,shadow_action,written_at_utc,trading_day,family_id,instrument,orb_label,entry_model,rr_target,confirm_bars,direction,score_bucket,size_scalar,baseline_pnl_r,shadow_pnl_r,baseline_expectancy_r,shadow_expectancy_r_dev,cusum_severity,cusum_alarm,sr_alarm_ratio,sr_alarm,notes
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-01-02,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,1,1.219745,-1.0,-1.219745,0.071158,0.161814,1.04092,0,0.053742,0,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-01-09,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,2,1.349737,-1.0,-1.349737,0.071158,0.161814,2.179781,0,0.161076,0,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-01-14,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,0,0.0,-1.0,-0.0,0.071158,0.161814,2.301698,0,0.131803,0,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-01-21,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,2,1.349737,1.3538,1.827274,0.071158,0.161814,1.046876,0,0.028205,0,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-01-22,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,3,1.349737,1.3319,1.797714,0.071158,0.161814,-0.0,0,0.01052,0,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-01-23,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,2,1.349737,1.3683,1.846845,0.071158,0.161814,-0.0,0,0.007125,0,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-01-26,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,3,1.349737,1.4103,1.903534,0.071158,0.161814,-0.0,0,0.006272,0,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-01-27,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,4,2.0,1.2816,2.5632,0.071158,0.161814,-0.0,0,0.003731,0,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-01-28,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,2,1.349737,1.0107,1.364179,0.071158,0.161814,-0.0,0,0.008585,0,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-02-02,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,3,1.349737,1.4311,1.931608,0.071158,0.161814,-0.0,0,0.006374,0,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-02-05,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,4,2.0,1.4087,2.8174,0.071158,0.161814,-0.0,0,0.003089,0,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-02-09,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,4,2.0,-1.0,-2.0,0.071158,0.161814,1.628795,0,0.106295,0,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-02-11,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,2,1.349737,-1.0,-1.349737,0.071158,0.161814,2.767656,0,0.260628,0,forward_monitor_only
