strategy_id,orb_label,entry_model,rr_target,confirm_bars,filter_type,regime_n,regime_wr,regime_exp_r,regime_sharpe,regime_maxdd,regime_validated,full_n,full_wr,full_exp_r,full_sharpe,full_maxdd,full_validated,delta_exp_r,delta_sharpe
MGC_2300_E1_RR4.0_CB2_ORB_G8,2300,E1,4.0,2,ORB_G8,37,0.2069,-0.0244,-0.0125,16.0,False,59,0.1364,-0.357,-0.218,20.0,False,0.3326,0.2055
MGC_1000_E2_RR4.0_CB3_NO_FILTER,1000,E2,4.0,3,NO_FILTER,247,0.2623,0.069,0.0379,17.6049,False,1251,0.2143,-0.2635,-0.1827,365.8219,False,0.3325,0.2206
MGC_1000_E1_RR4.0_CB3_ORB_L8,1000,E1,4.0,3,ORB_L8,225,0.2646,0.0648,0.036,17.0002,False,1216,0.2159,-0.2662,-0.1866,354.2185,False,0.331,0.2226
MGC_1100_E3_RR4.0_CB5_ORB_L3,1100,E3,4.0,5,ORB_L3,59,0.2712,-0.0541,-0.0345,12.3076,False,834,0.1937,-0.3844,-0.3017,326.4009,False,0.3303,0.2672
MGC_1000_E1_RR4.0_CB2_ORB_L6,1000,E1,4.0,2,ORB_L6,205,0.2611,0.0187,0.0107,18.0706,False,1201,0.2099,-0.3104,-0.2267,399.7231,False,0.3291,0.2374
MGC_0900_E2_RR4.0_CB4_ORB_L3,0900,E2,4.0,4,ORB_L3,146,0.2534,-0.0685,-0.0423,27.6356,False,1049,0.1968,-0.3974,-0.3176,432.2358,False,0.3289,0.2753
MGC_1100_E3_RR4.0_CB4_ORB_L4,1100,E3,4.0,4,ORB_L4,99,0.2626,-0.034,-0.0208,19.0,False,965,0.1942,-0.3628,-0.2749,356.7131,False,0.3288,0.2541
MGC_1100_E3_RR4.0_CB3_ORB_L3,1100,E3,4.0,3,ORB_L3,60,0.2667,-0.068,-0.0435,12.2713,False,865,0.19,-0.3958,-0.3126,349.7597,False,0.3278,0.2691
MGC_1000_E1_RR4.0_CB1_ORB_L8,1000,E1,4.0,1,ORB_L8,233,0.2629,0.0232,0.0133,19.551,False,1239,0.2175,-0.3037,-0.2233,404.885,False,0.3269,0.2366
MGC_1100_E3_RR3.0_CB4_ORB_L3,1100,E3,3.0,4,ORB_L3,60,0.3333,-0.0641,-0.0479,9.0293,False,847,0.2379,-0.3909,-0.3534,334.4777,False,0.3268,0.3055
MGC_0900_E3_RR2.5_CB1_NO_FILTER,0900,E3,2.5,1,NO_FILTER,248,0.3548,-0.0847,-0.0669,29.1646,False,1224,0.2984,-0.4099,-0.4202,514.8911,False,0.3252,0.3533
MGC_0900_E1_RR3.0_CB1_NO_FILTER,0900,E1,3.0,1,NO_FILTER,250,0.292,-0.1062,-0.0747,38.5864,False,1229,0.2351,-0.4307,-0.3971,541.9687,False,0.3245,0.3224
