strategy_id,lineage,verdict,is_t,threshold_applied,c8_oos_status,dir_match,n_unique_days,feature_family,session,instrument,md_path,blocker
MNQ_COMEX_SETTLE_E2_RR2.0_CB1_COST_LT12,DIRECT_HEAVYWEIGHT,FAIL_STRICT_CHORDIA,3.252,3.79,OOS_SIGN_MATCH_N_GE_30,True,1252,COST,COMEX_SETTLE,MNQ,docs/audit/results/2026-05-15-19-mnq-comexsettle-cost-lt12-rr20-chordia-unlock.md,heavyweight_failed
MNQ_EUROPE_FLOW_E2_RR2.0_CB1_ORB_G5,DIRECT_HEAVYWEIGHT,FAIL_STRICT_CHORDIA,2.783,3.79,OOS_SIGN_MATCH_N_GE_30,True,1485,ORB_SIZE,EUROPE_FLOW,MNQ,docs/audit/results/2026-05-15-18-mnq-europeflow-orb-g5-rr20-chordia-unlock.md,heavyweight_failed
MNQ_EUROPE_FLOW_E2_RR2.0_CB1_ORB_G8,DIRECT_HEAVYWEIGHT,FAIL_STRICT_CHORDIA,2.988,3.79,OOS_SIGN_MATCH_N_GE_30,True,1291,ORB_SIZE,EUROPE_FLOW,MNQ,docs/audit/results/2026-05-15-17-mnq-europeflow-orb-g8-rr20-chordia-unlock.md,heavyweight_failed
MNQ_NYSE_CLOSE_E2_RR1.0_CB1_ORB_G8,DIRECT_HEAVYWEIGHT,FAIL_STRICT_CHORDIA,1.882,3.79,OOS_SIGN_MATCH_N_GE_30,True,1246,ORB_SIZE,NYSE_CLOSE,MNQ,docs/audit/results/2026-05-13-mnq-nyse-close-mode-a-k1-revalidation.md,heavyweight_failed
MNQ_NYSE_OPEN_E2_RR1.0_CB1_X_MES_ATR60,DIRECT_HEAVYWEIGHT,FAIL_STRICT_CHORDIA,3.69,3.79,OOS_SIGN_MATCH_N_GE_30,True,699,CROSS_ASSET_ATR,NYSE_OPEN,MNQ,docs/audit/results/2026-05-10-mnq-nyseopen-xmesatr60-rr10-chordia-unlock-v1.md,heavyweight_failed
MNQ_NYSE_OPEN_E2_RR1.5_CB1_COST_LT12,DIRECT_HEAVYWEIGHT,PASS_PROTOCOL_A,3.6,3.0,OOS_SIGN_MATCH_N_GE_30,True,1532,COST,NYSE_OPEN,MNQ,docs/audit/results/2026-05-07-mnq-nyseopen-costlt12-rr15-chordia-unlock-v1.md,
MNQ_NYSE_OPEN_E2_RR1.5_CB1_ORB_G4,DIRECT_HEAVYWEIGHT,FAIL_STRICT_CHORDIA,3.709,3.79,OOS_SIGN_MATCH_N_GE_30,True,1547,ORB_SIZE,NYSE_OPEN,MNQ,docs/audit/results/2026-05-15-11-mnq-nyseopen-orb-g4-rr15-chordia-unlock.md,heavyweight_failed
MNQ_NYSE_OPEN_E2_RR1.5_CB1_OVNRNG_25,DIRECT_HEAVYWEIGHT,PASS_CHORDIA,3.802,3.79,OOS_SIGN_MATCH_N_GE_30,True,1524,OVERNIGHT_RANGE,NYSE_OPEN,MNQ,docs/audit/results/2026-05-15-10-mnq-nyseopen-ovnrng-25-rr15-chordia-unlock.md,
MNQ_NYSE_OPEN_E2_RR2.0_CB1_X_MGC_ATR70,DIRECT_HEAVYWEIGHT,FAIL_STRICT_CHORDIA,3.373,3.79,OOS_SIGN_MATCH_N_GE_30,True,427,X,NYSE_OPEN,MNQ,docs/audit/results/2026-05-15-13-mnq-nyseopen-x-mgc-atr70-rr20-chordia-unlock.md,heavyweight_failed
MNQ_NYSE_OPEN_E2_RR2.5_CB1_X_MGC_ATR70,DIRECT_HEAVYWEIGHT,FAIL_STRICT_CHORDIA,3.424,3.79,OOS_SIGN_MATCH_N_GE_30,True,427,X,NYSE_OPEN,MNQ,docs/audit/results/2026-05-15-16-mnq-nyseopen-x-mgc-atr70-rr25-chordia-unlock.md,heavyweight_failed
MNQ_SINGAPORE_OPEN_E2_RR3.0_CB1_COST_LT12_O30,DIRECT_HEAVYWEIGHT,FAIL_STRICT_CHORDIA,3.074,3.79,OOS_SIGN_MATCH_N_GE_30,True,1387,COST,SINGAPORE_OPEN,MNQ,docs/audit/results/2026-05-15-03-mnq-singaporeopen-cost-lt12-o30-rr30-chordia-unlock.md,heavyweight_failed
MNQ_SINGAPORE_OPEN_E2_RR3.0_CB1_ORB_G8_O15,DIRECT_HEAVYWEIGHT,FAIL_STRICT_CHORDIA,2.992,3.79,OOS_SIGN_MATCH_N_GE_30,True,1337,ORB_SIZE,SINGAPORE_OPEN,MNQ,docs/audit/results/2026-05-15-04-mnq-singaporeopen-orb-g8-o15-rr30-chordia-unlock.md,heavyweight_failed
MNQ_SINGAPORE_OPEN_E2_RR4.0_CB1_COST_LT12_O15,DIRECT_HEAVYWEIGHT,FAIL_STRICT_CHORDIA,2.976,3.79,OOS_SIGN_FLIP_N_GE_30,False,1114,COST,SINGAPORE_OPEN,MNQ,docs/audit/results/2026-05-15-02-mnq-singaporeopen-cost-lt12-o15-rr40-chordia-unlock.md,heavyweight_failed
MNQ_SINGAPORE_OPEN_E2_RR4.0_CB1_COST_LT12_O30,DIRECT_HEAVYWEIGHT,FAIL_STRICT_CHORDIA,3.072,3.79,OOS_SIGN_MATCH_N_GE_30,True,1387,COST,SINGAPORE_OPEN,MNQ,docs/audit/results/2026-05-15-01-mnq-singaporeopen-cost-lt12-o30-rr40-chordia-unlock.md,heavyweight_failed
MNQ_TOKYO_OPEN_E2_RR1.0_CB1_ORB_VOL_4K_O15,DIRECT_HEAVYWEIGHT,PARK,4.778,3.79,OOS_SIGN_FLIP_N_GE_30,False,706,ORB_VOLUME,TOKYO_OPEN,MNQ,docs/audit/results/2026-05-21-mnq-tokyoopen-orbvol4k-o15-chordia-unlock-v1.md,oos_sign_flip_or_incomplete_confirmation
MNQ_TOKYO_OPEN_E2_RR1.5_CB1_COST_LT08,DIRECT_HEAVYWEIGHT,PASS_PROTOCOL_A,3.566,3.0,OOS_SIGN_MATCH_N_GE_30,True,427,COST,TOKYO_OPEN,MNQ,docs/audit/results/2026-05-23-mnq-tokyoopen-costlt08-chordia-unlock-v1.md,
MNQ_US_DATA_1000_E2_RR1.0_CB1_ORB_VOL_8K,DIRECT_HEAVYWEIGHT,PASS_CHORDIA,4.678,3.79,OOS_SIGN_MATCH_N_GE_30,True,1406,ORB_VOLUME,US_DATA_1000,MNQ,docs/audit/results/2026-05-15-08-mnq-usdata1000-orb-vol-8k-rr10-chordia-unlock.md,
MNQ_US_DATA_1000_E2_RR1.0_CB1_OVNRNG_25,DIRECT_HEAVYWEIGHT,PASS_CHORDIA,4.103,3.79,OOS_SIGN_MATCH_N_GE_30,True,1523,OVERNIGHT_RANGE,US_DATA_1000,MNQ,docs/audit/results/2026-05-15-15-mnq-usdata1000-ovnrng-25-rr10-chordia-unlock.md,
MNQ_US_DATA_1000_E2_RR1.0_CB1_OVNRNG_50,DIRECT_HEAVYWEIGHT,PASS_CHORDIA,4.269,3.79,OOS_SIGN_MATCH_N_GE_30,True,1230,OVERNIGHT_RANGE,US_DATA_1000,MNQ,docs/audit/results/2026-05-21-mnq-usdata1000-ovnrng50-chordia-unlock-v1.md,
MNQ_US_DATA_1000_E2_RR1.0_CB1_PD_GO_LONG,DIRECT_HEAVYWEIGHT,PASS_CHORDIA_OOS_UNDERPOWERED,3.839,3.79,OOS_N_BELOW_30,,330,PD,US_DATA_1000,MNQ,docs/audit/results/2026-05-10-mnq-usdata1000-pdgolong-rr10-chordia-unlock-v1.md,oos_n_below_confirmation_floor
MNQ_US_DATA_1000_E2_RR1.0_CB1_VWAP_MID_ALIGNED_O15,DIRECT_HEAVYWEIGHT,PASS_CHORDIA,4.362,3.79,OOS_SIGN_MATCH_N_GE_30,True,806,VWAP_MID,US_DATA_1000,MNQ,docs/audit/results/2026-05-02-mnq-usdata1000-vwapmid-o15-rr10-chordia-unlock-v1.md,
MNQ_US_DATA_1000_E2_RR1.0_CB1_VWAP_MID_ALIGNED_O30,DIRECT_HEAVYWEIGHT,PASS_CHORDIA,4.45,3.79,OOS_SIGN_MATCH_N_GE_30,True,866,VWAP_MID,US_DATA_1000,MNQ,docs/audit/results/2026-05-13-mnq-usdata1000-vwapmid-o30-rr10-chordia-unlock-v1.md,
MNQ_US_DATA_1000_E2_RR1.5_CB1_COST_LT10,DIRECT_HEAVYWEIGHT,FAIL_STRICT_CHORDIA,3.604,3.79,OOS_SIGN_FLIP_N_GE_30,False,1487,COST,US_DATA_1000,MNQ,docs/audit/results/2026-05-15-14-mnq-usdata1000-cost-lt10-rr15-chordia-unlock.md,heavyweight_failed
MNQ_US_DATA_1000_E2_RR1.5_CB1_ORB_VOL_8K,DIRECT_HEAVYWEIGHT,PARK,3.838,3.79,OOS_SIGN_FLIP_N_GE_30,False,1406,ORB_VOLUME,US_DATA_1000,MNQ,docs/audit/results/2026-05-15-12-mnq-usdata1000-orb-vol-8k-rr15-chordia-unlock.md,oos_sign_flip_or_incomplete_confirmation
MNQ_US_DATA_1000_E2_RR1.5_CB1_VWAP_MID_ALIGNED_O15,FAST_LANE,PASS_CHORDIA,5.158,3.79,OOS_SIGN_MATCH_N_GE_30,True,806,VWAP_MID,US_DATA_1000,MNQ,docs/audit/results/2026-05-02-mnq-usdata1000-vwapmid-o15-chordia-unlock-v1.md,journal_missing_integrity_break
